year,source_ccode,target_ccode,tie
1966,160,451,612.9563703118129
1967,160,451,609.7294340113594
1968,160,451,591.6373937889484
1969,160,451,590.0434427357513
1970,160,451,572.6813126542283
1971,160,451,553.1325943807851
1972,160,451,547.3614424837633
1973,160,451,522.1180009828313
1974,160,451,486.38029483905757
1975,160,451,451.81520703520437
1976,160,451,437.0199928701559
1977,160,451,419.1277165219799
1978,160,451,414.2601648204891
1979,160,451,381.0450408290153
1980,160,451,342.2362299549068
1981,160,451,316.2363379834742
1982,160,451,325.8826513730837
1983,160,451,327.8088298310013
1984,160,451,310.0364810438332
1985,160,451,300.93933767566887
1986,160,451,286.7077741920921
1987,160,451,250.05453681025938
1988,160,451,217.37299235930732
1989,160,451,194.71025479590662
1990,160,451,169.8647800077215
1991,160,451,146.49629636854297
1992,160,451,115.77802357064047
1993,160,451,89.70483675246851
1994,160,451,26.191089359148464
1995,160,451,-42.88649722448736
1996,160,451,-74.81885514162241
1997,160,451,-99.74168439850928
1998,160,451,-106.66534205984954
1999,160,451,-153.69909370581354
2000,160,451,-254.57048909657442
2001,160,451,-239.22291600546032
2002,160,451,-254.8156636637059
2003,160,451,-332.46063953653993
2004,160,451,-446.81765060665293
2005,160,451,-534.5628251737826
2006,160,451,-643.7924712021277
2007,160,451,-778.6289699056133
2008,160,451,-917.846903219689
2009,160,451,-679.8581517350221
2010,160,451,-852.5167328005
2011,160,451,-1053.9588925870275
2012,160,451,-1062.4940182853525
2013,160,451,-1076.8690182853525
2014,160,451,-1089.0635713579786
1957,160,452,884.377267392897
1958,160,452,878.471698400499
1959,160,452,871.2913340593723
1960,160,452,628.2052423484874
1961,160,452,610.958992984536
1962,160,452,539.6472533533615
1963,160,452,513.5782325233695
1964,160,452,485.2923379949307
1965,160,452,474.92384856317494
1966,160,452,439.6465173152483
1967,160,452,437.41958101479577
1968,160,452,421.32754079238384
1969,160,452,418.73358973918766
1970,160,452,401.37145965766376
1971,160,452,383.82274138422054
1972,160,452,382.0515894871987
1973,160,452,353.8081479862676
1974,160,452,326.0704418424939
1975,160,452,292.5053540386398
1976,160,452,270.7101398735922
1977,160,452,247.8178635254153
1978,160,452,243.9503118239245
1979,160,452,208.73518783245072
1980,160,452,169.9263769583422
1981,160,452,146.9264849869096
1982,160,452,157.57279837652004
1983,160,452,156.4989768344376
1984,160,452,137.72662804726951
1985,160,452,127.62948467910428
1986,160,452,113.39792119552749
1987,160,452,76.74468381369479
1988,160,452,44.06313936274273
1989,160,452,21.400401799342944
1990,160,452,-3.445072988843094
1991,160,452,-25.813556628021615
1992,160,452,-54.531829425923206
1993,160,452,-82.60501624409608
1994,160,452,-146.11876363741612
1995,160,452,-216.19635022105103
1996,160,452,-246.128708138187
1997,160,452,-273.0515373950748
1998,160,452,-279.9751950564132
1999,160,452,-323.0089467023772
2000,160,452,-424.8803420931399
2001,160,452,-410.532769002024
2002,160,452,-421.12551666026957
2003,160,452,-494.7704925331036
2004,160,452,-579.1275036032184
2005,160,452,-666.8726781703463
2006,160,452,-802.1023241986913
2007,160,452,-921.938822902177
2008,160,452,-1057.1567562162527
2009,160,452,-818.1680047315876
2010,160,452,-1001.8265857970655
2011,160,452,-1210.2687455835912
2012,160,452,-1202.8038712819161
2013,160,452,-1203.1788712819161
2014,160,452,-1212.3734243545423
1960,160,461,861.6921339449573
1961,160,461,844.4458845810059
1962,160,461,773.1341449498314
1963,160,461,747.0651241198402
1964,160,461,719.7792295914014
1965,160,461,709.4107401596457
1966,160,461,674.133408911719
1967,160,461,670.9064726112656
1968,160,461,652.8144323888546
1969,160,461,651.2204813356575
1970,160,461,633.8583512541345
1971,160,461,614.3096329806913
1972,160,461,607.5384810836695
1973,160,461,583.2950395827374
1974,160,461,547.5573334389637
1975,160,461,512.9922456351105
1976,160,461,498.19703147006203
1977,160,461,480.30475512188514
1978,160,461,475.43720342039524
1979,160,461,441.22207942892146
1980,160,461,402.41326855481293
1981,160,461,376.41337658338034
1982,160,461,387.0596899729899
1983,160,461,388.98586843090743
1984,160,461,371.21351964373935
1985,160,461,362.116376275575
1986,160,461,347.88481279199823
1987,160,461,311.23157541016553
1988,160,461,278.5500309592135
1989,160,461,255.88729339581278
1990,160,461,232.04181860762765
1991,160,461,208.67333496844913
1992,160,461,176.95506217054663
1993,160,461,150.88187535237466
1994,160,461,87.36812795905462
1995,160,461,18.290541375418798
1996,160,461,-13.641816541716253
1997,160,461,-38.56464579860403
1998,160,461,-45.48830345994338
1999,160,461,-92.52205510590738
2000,160,461,-193.39345049667008
2001,160,461,-178.04587740555417
2002,160,461,-194.63862506379974
2003,160,461,-272.2836009366338
2004,160,461,-389.6406120067468
2005,160,461,-476.38578657387643
2006,160,461,-590.6154326022215
2007,160,461,-724.4519313057071
2008,160,461,-864.6698646197829
2009,160,461,-622.681113135116
2010,160,461,-795.3396942005938
2011,160,461,-995.7818539871214
2012,160,461,-1003.3169796854463
2013,160,461,-1019.6919796854463
2014,160,461,-1031.8865327580725
1960,160,471,664.5303518266883
1961,160,471,647.2841024627369
1962,160,471,575.97236283156235
1963,160,471,549.9033420015703
1964,160,471,522.6174474731324
1965,160,471,512.2489580413767
1966,160,471,476.97162679345
1967,160,471,473.7446904929966
1968,160,471,455.6526502705847
1969,160,471,454.0586992173885
1970,160,471,436.6965691358646
1971,160,471,417.14785086242136
1972,160,471,410.37669896540046
1973,160,471,386.13325746446844
1974,160,471,350.3955513206947
1975,160,471,315.8304635168415
1976,160,471,301.035249351793
1977,160,471,283.14297300361613
1978,160,471,280.27542130212623
1979,160,471,245.06029731065155
1980,160,471,207.25148643654393
1981,160,471,180.25159446511043
1982,160,471,190.89790785472087
1983,160,471,192.82408631263843
1984,160,471,175.05173752547034
1985,160,471,165.9545941573051
1986,160,471,152.72303067372923
1987,160,471,115.06979329189653
1988,160,471,82.38824884094447
1989,160,471,59.725511277543774
1990,160,471,34.880036489357735
1991,160,471,10.511552850179214
1992,160,471,-20.206719947722377
1993,160,471,-46.27990676589434
1994,160,471,-109.7936541592153
1995,160,471,-177.8712407428502
1996,160,471,-209.80359865998616
1997,160,471,-235.72642791687213
1998,160,471,-241.65008557821238
1999,160,471,-288.6838372241764
2000,160,471,-389.5552326149391
2001,160,471,-374.20765952382317
2002,160,471,-389.80040718206874
2003,160,471,-467.4453830549028
2004,160,471,-582.8023941250176
2005,160,471,-666.5475686921454
2006,160,471,-776.7772147204905
2007,160,471,-909.6137134239762
2008,160,471,-1044.8316467380519
2009,160,471,-793.842895253385
2010,160,471,-973.5014763188647
2011,160,471,-1146.9436361053904
2012,160,471,-1160.4787618037153
2013,160,471,-1164.8537618037153
2014,160,471,-1175.0483148763415
1960,160,475,455.42915442854155
1961,160,475,438.18290506459107
1962,160,475,366.8711654334156
1963,160,475,340.8021446034245
1964,160,475,313.5162500749857
1965,160,475,314.14776064322996
1966,160,475,274.8704293953033
1967,160,475,266.6434930948508
1968,160,475,247.55145287243886
1969,160,475,244.95750181924268
1970,160,475,227.59537173771878
1971,160,475,208.04665346427555
1972,160,475,201.27550156725374
1973,160,475,177.03206006632263
1974,160,475,143.2943539225489
1975,160,475,108.7292661186948
1976,160,475,98.93405195364721
1977,160,475,86.04177560547032
1978,160,475,123.17422390397951
1979,160,475,83.95909991250574
1980,160,475,51.150289038397204
1981,160,475,5.150397066964615
1982,160,475,1.796710456575056
1983,160,475,-3.2771110855073857
1984,160,475,-25.04945987267547
1985,160,475,-37.146603240840705
1986,160,475,-54.37816672441659
1987,160,475,-90.03140410625019
1988,160,475,-121.71294855720225
1989,160,475,-144.37568612060204
1990,160,475,-167.22116090878808
1991,160,475,-186.5896445479666
1992,160,475,-157.3167415145963
1993,160,475,-166.38992833276825
1994,160,475,-210.9036757260892
1995,160,475,-294.9812623097241
1996,160,475,-282.9136202268601
1997,160,475,-306.83644948374786
1998,160,475,-326.7601071450863
1999,160,475,-361.7938587910503
2000,160,475,-301.665254181813
2001,160,475,-388.3176810906971
2002,160,475,-444.91042874894265
2003,160,475,-571.5554046217767
2004,160,475,-612.9124156918915
2005,160,475,-705.6575902590193
2006,160,475,-763.8872362873644
2007,160,475,-737.7237349908501
2008,160,475,-1000.9416683049258
2009,160,475,-865.9529168202607
2010,160,475,-1052.6114978857386
2011,160,475,-1219.0536576722643
2012,160,475,-1041.5887833705892
2013,160,475,-991.9637833705892
2014,160,475,-1002.1583364432154
1960,160,481,707.6476192518294
1961,160,481,690.401369887878
1962,160,481,619.0896302567035
1963,160,481,593.0206094267114
1964,160,481,565.7347148982726
1965,160,481,555.3662254665178
1966,160,481,520.0888942185911
1967,160,481,516.8619579181377
1968,160,481,498.7699176957258
1969,160,481,497.1759666425296
1970,160,481,479.8138365610057
1971,160,481,460.2651182875625
1972,160,481,453.4939663905416
1973,160,481,429.25052488960955
1974,160,481,393.51281874583583
1975,160,481,362.9477309419826
1976,160,481,411.1525167769332
1977,160,481,368.26024042875724
1978,160,481,450.39268872726643
1979,160,481,368.17756473579175
1980,160,481,250.36875386168504
1981,160,481,226.36886189025154
1982,160,481,239.01517527986198
1983,160,481,239.94135373777954
1984,160,481,222.16900495061145
